,org.glassfish.simpleglassfishapi.Configurator,com.sun.enterprise.glassfish.bootstrap.OSGiGlassFishRuntimeBuilder,com.sun.enterprise.glassfish.bootstrap.OSGiFrameworkLauncher,com.sun.enterprise.glassfish.bootstrap.ASMainHelper,org.glassfish.simpleglassfishapi.GlassFishRuntime,org.glassfish.simpleglassfishapi.Constants,com.sun.enterprise.glassfish.bootstrap.GlassFishMain,org.glassfish.simpleglassfishapi.GlassFish,org.glassfish.simpleglassfishapi.Deployer,com.sun.enterprise.glassfish.bootstrap.Util,com.sun.enterprise.glassfish.bootstrap.ASMain,com.sun.enterprise.glassfish.bootstrap.EmbeddedOSGiGlassFishRuntimeBuilder,com.sun.enterprise.glassfish.bootstrap.StartupContextUtil,com.sun.enterprise.glassfish.bootstrap.EmbeddedNonOSGiGlassFishRuntimeBuilder,com.sun.enterprise.glassfish.bootstrap.NonOSGiGlassFishRuntime,com.sun.enterprise.glassfish.bootstrap.EmbeddedMain,com.sun.enterprise.glassfish.bootstrap.SingleHK2Factory,com.sun.enterprise.glassfish.bootstrap.ClassPathBuilder,com.sun.enterprise.glassfish.bootstrap.ExtensibleClassLoader,com.sun.enterprise.glassfish.bootstrap.ASMainOSGi,com.sun.enterprise.glassfish.bootstrap.ASMainKnopflerFish,com.sun.enterprise.glassfish.bootstrap.Constants,com.sun.enterprise.glassfish.bootstrap.ASMainEquinox,com.sun.enterprise.glassfish.bootstrap.AutoProcessor,com.sun.enterprise.glassfish.bootstrap.GFRepository,com.sun.enterprise.glassfish.bootstrap.GFModuleDefinition,com.sun.enterprise.glassfish.bootstrap.MaskingClassLoader,com.sun.enterprise.glassfish.bootstrap.ASMainStatic,com.sun.enterprise.glassfish.bootstrap.Rejar,com.sun.enterprise.glassfish.bootstrap.ASMainNonOSGi,org.glassfish.simpleglassfishapi.CommandRunner,com.sun.enterprise.glassfish.bootstrap.GlassFishImpl,com.sun.enterprise.glassfish.bootstrap.GlassFishMainActivator,com.sun.enterprise.glassfish.bootstrap.ProxyModule,com.sun.enterprise.glassfish.bootstrap.ASEmbedded,com.sun.enterprise.glassfish.bootstrap.NonOSGiGlassFishRuntimeBuilder,com.sun.enterprise.glassfish.bootstrap.ASMainFelix
org.glassfish.simpleglassfishapi.Configurator,0.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,3.0,2.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,1.0,Infinity,Infinity,Infinity,3.0,Infinity
com.sun.enterprise.glassfish.bootstrap.OSGiGlassFishRuntimeBuilder,Infinity,0.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity
com.sun.enterprise.glassfish.bootstrap.OSGiFrameworkLauncher,Infinity,1.0,0.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity
com.sun.enterprise.glassfish.bootstrap.ASMainHelper,Infinity,1.0,Infinity,0.0,Infinity,Infinity,1.0,Infinity,Infinity,Infinity,1.0,Infinity,Infinity,1.0,1.0,Infinity,Infinity,Infinity,Infinity,1.0,2.0,Infinity,2.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,2.0,1.0,2.0
org.glassfish.simpleglassfishapi.GlassFishRuntime,Infinity,1.0,Infinity,3.0,0.0,Infinity,1.0,Infinity,Infinity,Infinity,2.0,1.0,Infinity,1.0,1.0,Infinity,Infinity,Infinity,Infinity,4.0,5.0,Infinity,5.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,1.0,Infinity,3.0,1.0,5.0
org.glassfish.simpleglassfishapi.Constants,Infinity,1.0,Infinity,Infinity,Infinity,0.0,Infinity,Infinity,Infinity,Infinity,Infinity,1.0,Infinity,1.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,2.0,Infinity,Infinity,1.0,Infinity
com.sun.enterprise.glassfish.bootstrap.GlassFishMain,Infinity,3.0,Infinity,2.0,Infinity,Infinity,0.0,Infinity,Infinity,Infinity,1.0,Infinity,Infinity,3.0,3.0,Infinity,Infinity,Infinity,Infinity,3.0,4.0,Infinity,4.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,2.0,3.0,4.0
org.glassfish.simpleglassfishapi.GlassFish,Infinity,2.0,Infinity,3.0,1.0,Infinity,1.0,0.0,Infinity,Infinity,2.0,2.0,Infinity,2.0,1.0,Infinity,Infinity,Infinity,Infinity,4.0,5.0,Infinity,5.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,1.0,1.0,Infinity,3.0,2.0,5.0
org.glassfish.simpleglassfishapi.Deployer,Infinity,4.0,Infinity,3.0,Infinity,Infinity,1.0,Infinity,0.0,Infinity,2.0,Infinity,Infinity,4.0,4.0,Infinity,Infinity,Infinity,Infinity,4.0,5.0,Infinity,5.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,3.0,4.0,5.0
com.sun.enterprise.glassfish.bootstrap.Util,Infinity,2.0,Infinity,1.0,Infinity,Infinity,1.0,Infinity,Infinity,0.0,2.0,Infinity,Infinity,1.0,2.0,Infinity,1.0,Infinity,Infinity,1.0,2.0,Infinity,1.0,Infinity,Infinity,Infinity,Infinity,2.0,Infinity,1.0,Infinity,Infinity,Infinity,Infinity,2.0,1.0,2.0
