67
,org.junit.runner.Result,org.junit.runner.notification.RunListener,org.junit.runner.notification.Failure,org.junit.runner.Description,junit.framework.Assert,junit.framework.ComparisonFailure,junit.framework.AssertionFailedError,org.junit.AfterClass,org.junit.internal.requests.ClassRequest,org.junit.internal.runners.TestClassRunner,org.junit.internal.runners.OldTestClassRunner,org.junit.runner.Runner,junit.framework.TestCase,org.junit.runner.RunWith,org.junit.runner.Request,junit.framework.TestListener,junit.framework.Test,org.junit.ComparisonFailure,org.junit.Assert,junit.extensions.RepeatedTest,junit.extensions.TestDecorator,junit.framework.TestResult,junit.textui.TestRunner,junit.runner.Version,junit.framework.TestSuite,junit.textui.ResultPrinter,junit.runner.BaseTestRunner,org.junit.runners.Parameterized,org.junit.internal.runners.TestClassMethodsRunner,org.junit.internal.runners.MethodValidator,org.junit.internal.runners.CompositeRunner,org.junit.runner.manipulation.Sorter,org.junit.runner.manipulation.Sortable,org.junit.runners.Suite,org.junit.internal.runners.InitializationError,junit.framework.TestFailure,junit.extensions.ActiveTestSuite,org.junit.internal.runners.BeforeAndAfterRunner,org.junit.internal.runners.TestIntrospector,junit.framework.ComparisonCompactor,org.junit.internal.runners.TestMethodRunner,org.junit.runner.notification.RunNotifier,org.junit.Before,org.junit.After,junit.framework.JUnit4TestCaseFacade,junit.runner.TestRunListener,junit.framework.JUnit4TestAdapterCache,junit.framework.JUnit4TestAdapter,junit.framework.Protectable,org.junit.runner.manipulation.NoTestsRemainException,org.junit.runner.manipulation.Filter,org.junit.runner.manipulation.Filterable,org.junit.BeforeClass,org.junit.runner.JUnitCore,org.junit.internal.runners.TextListener,org.junit.internal.runners.ErrorReportingRunner,org.junit.runners.AllTests,org.junit.runner.notification.StoppedByUserException,org.junit.Ignore,org.junit.Test,junit.extensions.TestSetup,org.junit.internal.requests.ClassesRequest,org.junit.runners.Enclosed,org.junit.internal.requests.FilterRequest,org.junit.internal.requests.ErrorReportingRequest,org.junit.internal.requests.SortingRequest
org.junit.runner.Result,0.0,1.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,3.0,2.0,2.0,2.0,Infinity,Infinity,3.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,3.0,2.0,Infinity,2.0,3.0,4.0,3.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,2.0,1.0,Infinity,Infinity,Infinity,Infinity,2.0,2.0,Infinity,Infinity,3.0,4.0,Infinity,1.0,1.0,2.0,3.0,Infinity,Infinity,Infinity,Infinity,3.0,4.0,3.0,3.0,3.0
org.junit.runner.notification.RunListener,1.0,0.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,3.0,2.0,2.0,2.0,Infinity,Infinity,3.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,3.0,2.0,Infinity,2.0,3.0,4.0,3.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,2.0,1.0,Infinity,Infinity,Infinity,Infinity,1.0,2.0,Infinity,Infinity,3.0,4.0,Infinity,1.0,1.0,2.0,3.0,Infinity,Infinity,Infinity,Infinity,3.0,4.0,3.0,3.0,3.0
org.junit.runner.notification.Failure,1.0,1.0,0.0,Infinity,Infinity,Infinity,Infinity,Infinity,2.0,1.0,1.0,2.0,Infinity,Infinity,3.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,2.0,1.0,Infinity,2.0,3.0,4.0,2.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,1.0,1.0,Infinity,Infinity,Infinity,Infinity,1.0,2.0,Infinity,Infinity,3.0,4.0,Infinity,2.0,1.0,1.0,2.0,Infinity,Infinity,Infinity,Infinity,3.0,3.0,3.0,2.0,3.0
org.junit.runner.Description,1.0,1.0,1.0,0.0,Infinity,Infinity,Infinity,Infinity,2.0,1.0,1.0,1.0,Infinity,Infinity,1.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,2.0,1.0,Infinity,1.0,1.0,2.0,2.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,1.0,1.0,Infinity,Infinity,1.0,Infinity,1.0,1.0,Infinity,Infinity,1.0,2.0,Infinity,1.0,1.0,1.0,2.0,Infinity,Infinity,Infinity,Infinity,2.0,3.0,2.0,1.0,2.0
junit.framework.Assert,Infinity,Infinity,Infinity,Infinity,0.0,2.0,Infinity,Infinity,2.0,Infinity,2.0,Infinity,1.0,Infinity,3.0,4.0,3.0,Infinity,Infinity,2.0,1.0,2.0,3.0,Infinity,2.0,3.0,3.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,4.0,Infinity,4.0,3.0,Infinity,Infinity,1.0,Infinity,Infinity,Infinity,Infinity,3.0,Infinity,3.0,3.0,Infinity,Infinity,Infinity,Infinity,Infinity,3.0,Infinity,Infinity,3.0,Infinity,Infinity,Infinity,2.0,4.0,5.0,4.0,4.0,4.0
junit.framework.ComparisonFailure,Infinity,Infinity,Infinity,Infinity,1.0,0.0,Infinity,Infinity,3.0,Infinity,3.0,Infinity,2.0,Infinity,4.0,5.0,4.0,Infinity,Infinity,3.0,2.0,3.0,4.0,Infinity,3.0,4.0,4.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,5.0,Infinity,5.0,4.0,Infinity,Infinity,2.0,Infinity,Infinity,Infinity,Infinity,4.0,Infinity,4.0,4.0,Infinity,Infinity,Infinity,Infinity,Infinity,4.0,Infinity,Infinity,4.0,Infinity,Infinity,Infinity,3.0,5.0,6.0,5.0,5.0,5.0
junit.framework.AssertionFailedError,Infinity,Infinity,Infinity,Infinity,1.0,1.0,0.0,Infinity,2.0,Infinity,1.0,Infinity,2.0,Infinity,3.0,1.0,2.0,Infinity,Infinity,2.0,2.0,1.0,2.0,Infinity,2.0,1.0,1.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,4.0,Infinity,1.0,2.0,Infinity,Infinity,2.0,Infinity,Infinity,Infinity,Infinity,2.0,Infinity,2.0,2.0,Infinity,Infinity,Infinity,Infinity,Infinity,2.0,Infinity,Infinity,2.0,Infinity,Infinity,Infinity,2.0,4.0,5.0,4.0,4.0,4.0
org.junit.AfterClass,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,0.0,2.0,1.0,5.0,Infinity,Infinity,Infinity,3.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,2.0,Infinity,1.0,Infinity,Infinity,Infinity,2.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,5.0,4.0,Infinity,Infinity,Infinity,Infinity,Infinity,4.0,Infinity,Infinity,6.0,Infinity,Infinity,Infinity,Infinity,4.0,3.0,4.0,4.0,4.0
org.junit.internal.requests.ClassRequest,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,0.0,Infinity,3.0,Infinity,Infinity,Infinity,1.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,2.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,3.0,2.0,Infinity,Infinity,Infinity,Infinity,Infinity,2.0,Infinity,Infinity,4.0,Infinity,Infinity,Infinity,Infinity,2.0,3.0,2.0,2.0,2.0
org.junit.internal.runners.TestClassRunner,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,1.0,0.0,4.0,Infinity,Infinity,Infinity,2.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,1.0,Infinity,Infinity,Infinity,Infinity,Infinity,1.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,4.0,3.0,Infinity,Infinity,Infinity,Infinity,Infinity,3.0,Infinity,Infinity,5.0,Infinity,Infinity,Infinity,Infinity,3.0,2.0,3.0,3.0,3.0
